id,no,project,reporter,type,priority,contributors,turn_no,assignee,started,ended,spent hours,steps,comments count,valid,Q1,Q2,Q3,Notes,compositeScore,performanceBinary
1005066.0,20.0,C02hk_3nwc,0ny_3nwcygp,Ticket,Medium,3.0,1,4hghk,2022-02-13 09:56:02+00:00,2022-02-13 09:58:52+00:00,0.047,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-02-13 09:58:52+00:00,2022-02-14 08:26:30+00:00,22.461,2,8,True,4,4,4,Not an issue,4.0,good
,,,,,,,3,4hlg,2022-02-14 08:26:30+00:00,2022-08-09 11:53:51+00:00,4227.456,2,1,True,4,4,4,Not an issue,4.0,good
1005097.0,25.0,C02gg0w_,0ny0w_ygi,Ticket,Medium,2.0,1,4hghk,2022-02-14 10:43:19+00:00,2022-02-14 10:56:59+00:00,0.228,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-02-14 10:56:59+00:00,2022-04-27 07:43:44+00:00,1724.779,3,52,True,4,4,4,Delay from ph_name team,4.0,good
1005100.0,434.0,C12hgx18a,adyx18aygp,Ticket,High,2.0,1,4hghk,2022-02-14 12:34:56+00:00,2022-02-14 12:37:12+00:00,0.038,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-02-14 12:37:12+00:00,2022-03-14 09:18:45+00:00,668.692,2,12,True,3,3,3,Delay in management and no proper follow up with customer,3.0,needs_improvement
1005108.0,151.0,C02gg0_d0,0ny0_d0ygs,Ticket,High,3.0,1,4hghk,2022-02-15 06:26:51+00:00,2022-02-15 06:32:50+00:00,0.1,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-02-15 06:32:50+00:00,2022-02-15 06:45:39+00:00,0.214,2,2,True,3,3,3,no work done,3.0,needs_improvement
,,,,,,,3,4lhl,2022-02-15 06:45:39+00:00,2022-03-22 13:47:36+00:00,847.032,2,6,True,3,2,3,Service Desk user did his work perfectly same for other service desk users,2.6666666666666665,needs_improvement
1005113.0,385.0,C12ggz_0,adyz_0ygp,Ticket,High,2.0,1,4hghk,2022-02-15 08:39:03+00:00,2022-02-15 08:44:08+00:00,0.085,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lsk,2022-02-15 08:44:08+00:00,2022-02-23 06:47:50+00:00,190.062,8,8,True,2,2,2,This ticket more into inquiry but the ticket does not show any logic,2.0,needs_improvement
1005127.0,18.0,C11gkz_0,.wyz_0ygq,Ticket,Highest,1.0,1,4qkr,2022-02-15 12:08:19+00:00,2022-02-17 07:56:18+00:00,43.8,3,4,True,5,5,5,Prompt response,5.0,good
1005133.0,3421.0,C13ggb_0,bzyb_0ygo,Ticket,Medium,2.0,1,4oqq,2022-02-16 05:19:19+00:00,2022-02-16 06:23:24+00:00,1.068,1,2,True,5,5,5,This is HD-Service ticket opened by C13,5.0,good
,,,,,,,2,4klq,2022-02-16 06:23:24+00:00,2022-02-23 06:17:35+00:00,167.903,2,2,True,5,5,5,This is HD-Service ticket opened by C13,5.0,good
1005150.0,518.0,C06ggt2_0,t.yt2_0ygr,Ticket,High,2.0,1,4kgi,2022-02-16 11:21:49+00:00,2022-02-16 11:43:54+00:00,0.368,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-02-16 11:43:54+00:00,2022-02-17 09:25:15+00:00,21.689,3,1,True,5,5,5,Prompt reponse,5.0,good
1005215.0,17.0,C06hs__z0,t.y__z0ygq,Ticket,Medium,2.0,1,4kgq,2022-02-21 08:48:25+00:00,2022-02-21 09:03:07+00:00,0.245,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4qsk,2022-02-21 09:03:07+00:00,2022-05-29 12:40:10+00:00,2331.618,4,49,True,4,4,4,Two issues reported in same ticket and they both managed well,4.0,good
1005228.0,1057.0,C06hg2xcu,t.y2xcuyhi,Ticket,High,2.0,1,4kgq,2022-02-21 14:32:03+00:00,2022-02-21 14:33:12+00:00,0.019,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-02-21 14:33:12+00:00,2022-10-23 07:20:44+00:00,5848.792,3,2,True,1,1,1,No update on the ticket and no information useful provided,1.0,needs_improvement
1005265.0,19.0,C11gkz_0,.wyz_0ygq,Ticket,Blocker,1.0,1,4qkr,2022-02-23 11:42:12+00:00,2022-12-12 12:33:03+00:00,7008.848,8,22,True,4,4,3,Need more follow with the customer,3.6666666666666665,needs_improvement
1005282.0,19.0,C07hru9n,u6yu9nygl,Ticket,Highest,1.0,1,4shl,2022-02-24 10:34:34+00:00,2022-08-11 08:15:44+00:00,4029.686,7,52,True,2,2,2,bad management for the ticket and no proper investigation,2.0,needs_improvement
1005299.0,441.0,C12hgx18a,adyx18aygr,Ticket,High,2.0,1,4khg,2022-02-27 07:45:53+00:00,2022-02-27 07:49:41+00:00,0.063,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-02-27 07:49:41+00:00,2022-03-07 07:39:30+00:00,191.83,2,7,True,5,5,5,,5.0,good
